task2_timestamp,analyst_id,paper_id,task2_software,task2_analysis_report,type_of_statistic,statistic_report,model_sample_size,model_degrees_of_freedom,p_value_or_bayes,p_value_report,task2_conclusion,direction_of_result,same_statistical_result_as_task1,additional_calculations,total_hours,task2_submission_number
2022-05-29T20:26:37Z,6WZH9,GROSSMAN_AmPoliSciRev_2014_LyWB,R,"We test the hypothesis that more marginalized areas are more likely to secede from their local administrative unit, forming a new local government. Considering the dependent variable is binary, we fitted a logistic model using ML to predict splinter counties with DEC share ratio -not the county share of seats. Following the task’s instructions, we have dropped a number of variables in comparison with our previous mixed-effects logistic models. For instance, we have deprecated the use of time-invariant sociodemographic measures, population size and ethnic fractionalization. Although the latter is a different variable from ethnic marginalization, we have also decided to exclude it to secure we respect the instructions.

In addition, we have disregarded the social services summary index and the three measures of economic wellbeing, therefore, we have opted to exclude from the model the development index. Also, we have not added any county and location controls. Our result shows the effect of the independent variable is statistically significant and negative (beta = -0.731, 95% CI [-1.105, -0.389], p < 0.001). This is consistent with the results of task 1.",z-statistic,-3.999,437,436,p-value,6.35e-05,"In sum, the likelihood that a county secedes to form a new one decreases in DEC share.",Same as claimed by the original study,Yes,Yes,16,140
2022-05-29T21:55:02Z,JX2VH,Alves_PsychologSci_2018_AvOr,R,"We tested the hypothesis that participants preferred the first group over the novel group as long as the groups’ unique attributes were negative.  To examine the dependence between condition (positive shared / negative unique vs. negative shared / positive unique) and preference (preference for 1st group vs. preference for 2nd group), we used a Pearson's Chi-squared test. Chi-square tests are used to examine whether two count variables are interdependent. The chi-square test revealed a significant association between condition and group preference (chi^2 = 11.08, p < .001, n = 210). To satisfy the instructions of task 2 specifically, I removed several analyses conducted for task 1 and only focused on experiment 1.",Chi²-statistic,"Chi-squared = 11.083, p-value = 0.001",210,1,p-value,p < 0.01,Respondents are more likely to prefer 1st group when positive traits are shared and negative are unique.,Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",4,141
2022-05-29T23:21:37Z,MDWBA,Wang_AmEcoJourn_2013_7d4J,R,"Income was then analyzed with linear mixed effects analyses using the lme4 (Bates et al., 2015) and lmerTest (Kuznetsova et al., 2017) analyses in R version 4.2 (RRID:SCR_001905). I chose a mixed effects analysis to account for nested nature of the data (individual people provided multiple data points).

I tested the hypothesis that father-in-law death would lead to a change in male income, operationalized as a significant effect of ""post father-in-law death"" in each data set.

For each data set, to predict male income I included fixed fixed effects of age, age^2, and father-in-law death, as well as the interaction of age and father-in-law death. I included participant and province as random effects.

I then conducted two complementary analyses to assess statistical significance. First, in the full model (described above), I looked at the p values for father-in-law death (estimated using the lmerTest package). I then created a simplified model removing father-in-law death and compared the simplified model to the full model.

For task 2, I made sure none of the effects listed in the instructions were included in my model.",t-statistic,1.995,3721,11978.6948,p-value,0.046,I conclude the death of a father in law significantly reduces the income of a man aged 22 or older.,Same as claimed by the original study,No,"No, I already had the neccessary calculations in Task 1",12,142
2022-05-30T04:04:26Z,Z5YKQ,Liu_JournMarket_2015_9DZl,JASP,"Preparing data of Study 1a for analyses in Task 2
1.	I used JASP 0.16.2 statistical software for all analyses in Task 2.
2.	I used Task_2_Z5YKQ_JASP_DATA_Liu_JournMarket_2015_9DZl.jasp file, which is uploaded to assigned OSF folder

Welch t-Test for hypothesis testing

Liu et al. (2015) claimed that “a financial acknowledgment (defined as an acknowledgment with a monetary benefit) can lead to less positive outcomes than offering a verbal acknowledgment (defined as an acknowledgment without a monetary benefit)” (p.74). They hypothesize this claim in H1: “Consumers feel more appreciated by a firm when they receive a verbal acknowledgment rather than a similarly worded financial acknowledgment with trivializing compensation” (p. 76). 

For testing this hypothesis, I selected the Welch t-test results because the sample was unequally distributed to the conditions (nverbal = 18; nfinancial+verbal = 31). Results showed that the perceived appreciation is higher in the verbal acknowledgment only condition (M = 5.57; SD = 1.27; n = 18) than the financial acknowledgment condition (M = 4.38; SD = 1.45; n = 31). Therefore, results supported the hypothesis with a considerably large effect size (Welch = 3.02; df = 39.68; p = .004; d = .88)",t-statistic,3.023,49,39.678,p-value,0.004,"According to the results of my reanalysis of their data with Welch t-test, offering trivial financial benefit with verbal acknowledgment leads to a less positive outcome (perceived appreciation) than offering verbal acknowledgment without any monetary benefit. Therefore, the results of the reanalysis of Study 1a data supported their claim.",Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",3,144
2022-05-30T05:28:47Z,5X3KG,Mironova_JournExpPoliSci_2014_59Rq,R,"The two groups to be compared were selected based on the level of exposure between groups. This resulted in a group with less proximity (Serbregion) and one with more proximity (Albregion). A t-test can be used to compare the difference between group means if the data are normally distributed. Therefore, a Shapiro-Wilk test of normality was performed in each group as a first step. With the significance level set to 5%, the result of this test indicates that the data are not normally distributed, so a test other than the t-test was chosen to compare the groups. Specifically, a Wilcoxon test was used to compare the two groups. With the significance level set to 5%, this test indicated that the difference between both groups in the amount of money sent to an out-group participant, was significant (p < 0.05). To understand the direction of this difference, the median amount of money sent was calculated for each group.",W-statistic (Wilcoxon test),2180.5,118,NA,p-value,0.00031,"The difference between both groups in the amount of money sent to an out-group participant, was significant (p < 0.05)",Same as claimed by the original study,No,Yes,8,145
2022-05-30T09:18:55Z,8PTRZ,Einstein_AmJourPoliSci_2017_mxyQ,R,"I did not run new analyses for Task 2. Thus, the very same description that I offered after completing Task 1 (point 2.4 of that Google form) applies entirely here.",Chi²-statistic,14.265,558,1,p-value,0.0001588,"At most conventional levels of significance (e.g., 5% or 1%), we reject the null hypothesis of equal proportions of persons greeted by name between the hispanic and the non-hispanic groups.",Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",2,146
2022-05-30T09:29:21Z,8GS2H,Brough_JournConsRes_2016_9ey,R,"The steps were the same as in Task 1. I performed ANOVA to test the hypothesis that consumers who engaged in green behaviour were perceived as more feminine than consumers who engaged in nongreen behavior. I averaged the responses for femininity to form the scale as it is usually done by psychologists, the ANOVA results were the following:  F(1, 191) = 43.244, p < .001, partial eta sq = .185; Mgreen = 2.64, SDgreen = .90, Mnongreen = 1.82, SDnongreen = .86.",F-statistic,43.244,194,1;191,p-value,<.001,consumers who engaged in green behaviour were perceived as more feminine than consumers who engaged in nongreen behavior.,Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",3,147
2022-05-30T10:10:16Z,TKJER,Beaman_JournLabEco_2018_7ybJ,Stata,"I reduced the data to the either-gender treatment. In the first round, I conducted a logistic regression as well as a Chi-Square test. Since only one test should be conducted for Task 2, I skipped the Chi-Square test. In my view, the logistic regression is more suitable to address the following claim: ""CA [conventional applicant] men are less likely to refer women than CA women"". For the logistic regression I recoded gender (female = 0; male = 1) for a better intepretation.",z-statistic,OR = .394,220,1,p-value,.002,CA [conventional applicant] men are less likely to refer women than CA women,Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",2.5,148
2022-05-30T10:36:09Z,PZ6KU,Liang_JournPoliEco_2018_q8xv,R,"Following the instructions of Task 2 I conducted a linear regression with entrepreneurship (proxied by the ""entre_wage"" variable) serving as the dependent variable and median age (""medage_20_64"") serving as a predictor. The goal was to test the hypothesis that there is a negative associated between median age and countries entrepreneurship levels. Specifically,  decreases in a country's median age are associated with more entrepreneurship. The sign of the regression coefficient and the corresponding p-value were used to corroborate the claim.",t-statistic,-14.292,393,391,p-value,<.001,The basic claim is supported. There is a negative correlation between a country's entrepreneurship level and median age.,Same as claimed by the original study,Yes,Yes,2,150
2022-05-30T10:41:13Z,ANL1Q,McDevitt_JournPoliEco_2014_yQeR,R,"I did not perform any preprocessing steps to the provided dataset (i.e., ""final_data.dta""). To the best of my knowledge (based on some cross-validations), this dataset fulfills the criteria that it only includes data of Illinois Plumbing Firms, that it does not include reviews from yelp.com, Angie's List, and Consumer's Checkbook, and that it includes the total number of complaints instead of complaints per employee. I did not restrict the analysis to firms that serve the metro Chicago area. Hence, all requirements for task 2 are fulfilled. Because I already based my analyses of the first task on these requirements, my analyses for task 1 and task 2 are identical, and I will focus my subsequent reporting on the most informative statistical model. 

Due to the very high number of zeros in the dependent variable ""complaints_2008"", a negative binomial model shows the best fit to the data. Due to the correlative nature of the dataset, I consider it important to include relevant control variables (i.e., multiple_names, on_google, ad_spend_k, firm_age, Chicago, and emp_size) when testing the key effect of interest. The analysis reveals, as hypothesized, that firms whose name begins with ""A"" receive a higher number of complaints than firms with other names (b = 0.68, z = 3.121, p = .002). All included control variables but the firm age (p = .198) have significant and positive effects (ps < .014).",z-statistic,3.121,2293,not applicable for the z-test (note that the residual deviance has 2285 df),p-value,0.0018,"There is a significant effect of a plumbing firm's name on the number of complaints the firm received such that firms whose name begins with ""A"" have a higher likelihood of receiving a complaint.",Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",20,151
2022-05-30T10:43:38Z,EEDG6,Adida_CompPolitStu_2016_G0Kb,R,"This survey experiment study focused on voter support for President Yayi of Benin and had three experimental conditions: a control condition with no priming, a first experimental condition with a “wife cue” and a third experimental condition with a “Fon wife cue”. The authors’ hypothesis is that priming the ethnicity of the president’s wife (Fon) increases support for the president, but only for participants that share the same Fon ethnicity with the president’s wife. 
The dependent variable in this dataset is BoniVote, a binary yes/no variable (coded with 1 = yes). I constructed an independent variable “condition” out of the existing (Control, Femme & FemmeFon) dummy variables. Based on the authors’ script I constructed a FonGroupNonCoethnic variable, assigning 1 to participants that share the same ethnic group as the spouse of the president. 
Given the binary dependent variable, I opted for logistic regression with BoniVote as the dependent variable, and condition and Fon co-ethnicity as independent variables. The focus of this test is the interaction term of the independent variables.  
The voting support for President Yayi was significantly lower for Fon group members than non-Fon group members ( β = -2.58, 95% CI = [-3.58, -1.68], p < .001). However, priming of the ethnicity of the president’s spouse increased support but only for those who are part of the same group as the president’s spouse, the Fon group (β = 1.46, 95% CI = [0.27, 2.70], p = .0182). The odds ratio shows that the spouse’s ethnicity cue makes the odds for Fon group members to vote in favor of the president increase by 4.30.

I did not had to change anything in my script for task 2, but I did add the Z statistics now.",z-statistic,2.361,347,341,p-value,0.0182,Priming of the ethnicity of the president’s spouse increased support but only for those who are part of the same group as the president’s spouse.,Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",3,152
2022-05-30T11:06:44Z,UU5Y0,Brough_JournConsRes_2016_9ey,R,"Before testing the hypothesis, I needed to pre-process the data so that I was able to produce an index of the dv (femininity index). I also needed to identify which participants assigned to which conditions, and this process is crucial to create two binary variables acting as covariates. After I managed to do these steps, I performed a factorial ANOVA to test the main hypothesis as described in my task description.",F-statistic,8.100,194,1; 190,p-value,0.005,Green behavior is perceived to be more feminine than non-green behavior.,Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",2,153
2022-05-30T11:17:30Z,RQ146,PIETRYKA_AmPoliSciRev_2017_yjkQ,R,Please refer to my response in Task 1. No additional adjustments were necessary.,z-statistic,4.311,2216,n.a.,p-value,1.63e-05,The p-value is below the significance threshold and thus we can reject the Null-hypothesis but rather assume the alternative-hypothesis to hold which states: individuals more socially proximate to elites turn out at a higher rate (at elections),Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",15,154
2022-05-30T11:41:19Z,YA03L,Thames_CompPolitStu_2010_l22v,R,"I first cleaned the data by removing observations from non-election years, from non-democratic countries (indicated by values less than 6 on the polity2 variable), and observations with missing outcome variables. I then removed observations with missing values in any of the variables included in the regression model (i.e., incomplete cases).

The analysis and the reasoning is the same as in Task 1. It is described in more detail there, but the ideal would be to investigate within-country changes in voting system. No eligible country had changed their system, meaning causal inference would have to rely on appropriate statistical control (i.e., control for potential confounders and not control for mediators and collider). There were no variables that were obvious confounders and, at the same time, were obvious non-mediators. I therefore ran two models: a simple regression without covariates, and a multiple regression with an assortment of control variables (reported in Task 1). For the ballot variable, they had similar results. Because the present task asks us to report one and only one test, I here report the multiple regression.

I ran a multiple regression with percent female representation as the outcome variable and party control over nominations (ballot) as the primary predictor. This is a dummy variable where 1 means more party centered voting. I then added the following covariates: log of district magnitude, percent left-leaning votes, years since suffrage, size of legislature, log of GDP, women as percentage of labor force, and government spending as percent of GDP. To adjust for clustered observations, I used cluster-adjusted standard errors by countries. There were 61 unique countries in the analysis.  

Country-years with more party-centered voting systems (indicated by party control over ballot nominations) had on average 1.3 percentage points (SE=3.025) more women in their their legislature. The difference was not larger than what would be expected from chance.

  Estimate Std. Error    t value   Pr(>|t|) 
 1.3262963  3.0250074  0.4384440  0.6626391",t-statistic,0.438,208,60,p-value,0.663,There were no significant difference in women's representation between party-centered and candidate-centered voting systems.,Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",2,155
2022-05-30T11:54:28Z,VU58A,Beaman_JournLabEco_2018_7ybJ,JASP,"By coincidence, my analysis for Task1 already satisfied the criteria for Task2. As such, I am providing the same description here.

Data selection
	We recruited a total of 826 conventional applicants (CAs) in this study. Out of those, 693 (i.e., 83.9%) referred another individual as a potential candidate. Of the referrers, 430 (i.e., 62.05%) identified as male, 254 (i.e., 36.65%) identified as female, and 9 (i.e., 1.30%) provided no information about their gender. Similarly, of the non-referrers, 76 (i.e., 57.14%) identified as male, 56 (i.e., 42.11%) identified as female, and 1 (i.e., 0.75%) provided no information about their gender. 
We compared the proportions of women and men across the two different referral groups in order to ensure that there were no systematic differences with which male and female CAs referred potential candidates. A χ2-test of independence indeed suggested this to be the case, revealing no evidence in favor of an association between CA’s referral status and gender (χ2(1) = 1.31, p = .252). This null result was further confirmed by a Bayesian test of association (using default priors and a Poisson sampling plan), producing a BF10 of .243.
Out of those 684 referrers whose gender identity was known, 394 (i.e., 57.60%) referred a male candidate, 275 (i.e., 40.20%) referred a female candidate, and 15 (i.e., 2.19%) referred an individual for whom gender was not known. As the primary interest of this analysis was to determine whether male CAs are less likely to refer women than are female CAs, we focus all of our subsequent analyses on this set of 669 CA referrers, whose referral also had provided gender information.

Are CA men less likely than CA women to refer women? 
	There were 420 male (i.e., 62.78%) and 249 female (i.e., 37.22%) CAs in our final sample. Similarly, 394 (i.e., 58.89%) of all referrals were male, and 275 (i.e., 41.11%) were female. There was thus an equal proportion of women in both the group of CAs as well as the group of referrals (χ2(1) = 0.07, p = .789; Bayesian test of association with default priors and Poisson sample plan: BF10 = .190). 
	However, this was no longer the case when considering only those 220 CAs who had been free to decide whether or not to refer a man or a woman. Whereas of the CAs in this group, 87 (i.e, 39.55%) were women, there were only 67 (i.e., 30.46%) female referrals. These proportions differed significantly from each other (χ2(1) = 9.91, p = .002; Bayesian test of association with default priors and Poisson sample plan: BF10 = 38.92), suggesting that women were being referred at a lower rate than they applied themselves. 
	Was this difference between self-initiated applications and referrals primarily driven by one gender? In order to address this question, we compared the rates with which CAs of either gender referred men and women. While women CAs referred other women at a rate of 42.53% when given the choice of which gender to refer, men CAs referred other women at a rate of only 22.56% when given the choice. Follow-up frequentist and Bayesian binomial tests indeed provided weak evidence that women referred men and women at roughly equal expected proportions of 0.5 each (p = .198 & BF10 = .349). Even more importantly, women referred other women at the same rate that they applied themselves (i.e., frequentist and Bayesian binomial tests against expected value of .3955: p = .585 & BF10 = .155). By contrast, when given the choice, men neither referred women and other men at equal expected proportions of 0.5 each (frequentist & Bayesian binomial tests: p = 1.452x10-10 & BF10 = 1.435x108), nor did they refer women at the rate that women applied themselves (i.e., frequentist and Bayesian binomial tests against expected value of .3955: p = 3.932x10-5 & BF10 = 526.882; significance evaluated against a Bonferroni-corrected p-value of .083 [i.e., .05/6 tests] to account for multiple comparisons). As such, male CAs were consistently less likely than female CAs to refer women. 

Underlying rationale for analysis choice
	Analysis choice was driven by primarily two factors: 
First, analysis was to be carried out on frequency data belonging to different categories (i.e., gender). As such, we decided between standard chi-square tests of independence and logistic regression. Given that we did not have any strong hypotheses concerning potential covariates/factors and that there were not many data points left after exclusion of subjects, we decided in favor of the former. 
Second, given that a lot of the statistical tests involved determining whether or not there was evidence in favor of the null hypothesis, we chose to include both traditional frequentist statistics and Bayesian statistics.",Chi²-statistic,9.906,220,1,Bayes factor,38.924,Male CAs were consistently less likely than female CAs to refer women.,Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",8,157
2022-05-30T12:22:31Z,MUYV3,Anderson_AmEcoJourn_2011_bLe8,R,"I am giving a shorter summary of the analysis procedure here, please refer to the Analysis_MUYV3.html file in the Outputs folder for a full description of the methods and results, which includes figures, code, and a variable code book. In order to replicate the analyses, simply open the RProject file (Task2_MUYV3.RProj), then open the Markdown file in the Script folder (Analysis_MUYV3.Rmd). After installing the necessary packages, click knit to reproduce the analyses. The analysis is highly similar to the one reported for Task 1, with the main difference being in the multilevel model estimation in Analysis 2. 
	In order to test the claim, several key variables need to be operationalized first: lower caste households will be those from BAC, OBC, and SC castes, and all analyses will be restricted to those households. Village type will be operationalized through economic power, if the majority of the land is owned by high castes, the village is ""high caste dominated"". If the majority of the land is owned by low castes, the village is ""low caste dominated"". Income will be operationalized as the total household income, since the claim does not specify the source or type of income to be tested.
Analysis 1: The analysis was performed in two parts. First, I tested whether high and low caste dominated villages differed only in caste dominance or whether they also differed in other respects (e.g. total area, type of crop grown, distance to infrastructure), which might confound village type comparisons. Using Mann Whitney U tests I found that high and low caste dominated villages only differed in caste dominance and not in any other control variable tested here. 
Analysis 2: I then assessed whether village level caste dominance affected household incomes of low caste households. For this purpose, I first removed households with missing data, and then removed outliers from the income data, and found that income was not normally distributed and was better approximated by a log-normal distribution. In order to test the effect of caste dominance on household income, I therefore estimated a multilevel generalized linear mixed model using a log-normal distribution, modelling village and state as nested random effects. This model was fitted using penalized quasi-likelihood estimation. Village caste dominance, three control variables (literacy, caste type, total village land), as well as their interactions were added as fixed effects. The analysis showed that village caste dominance had no effect on household incomes t(66) = -0.872, p = 0.386.","generalized linear mixed model using a log-normal distribution, fitted using penalized quasi-likelihood estimation. Main effect assessed using a t-test, as implemented in the R command MASS::glmmPLQ",-0.872,943,66,p-value,0.386,The claim is not supported by the data.,Opposite as claimed by the original study,Yes,Yes,20,158
2022-05-30T13:26:39Z,WCZJU,Luttrell_JournExpSocPsych_2016_rjb,R,"The steps were rigourously identical to that of Task 1 if not for the fact that i report below the results for Study 1 only.

As in Study 1, i tested for a two-way interaction effect between the degree of certainty and ambivalence on stability. Results show that higher degree of certainty is associated with a higher degree of stability when ambivalence decreases:

b = - 0.03 95% CI [-0.06, 0.00], F(1, 168) = 4.26, p = .04, partial eta² = .03",F-statistic,4.258,174,168,p-value,.041,A higher degree of certainty is associated with a higher degree of stability when ambivalence decreases,Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",3,159
2022-05-30T13:48:51Z,419LV,Bursztyn_AmEcoRev_2017_VB9K,R,"As the specific hypothesis I was given talks about desired salaries, the outcome variable for this analysis is one self-reported desired compensation. However, the authors state in their readme file that the original datafile only contains the raw values. Specifically, the raw values are stored as a string forming describing the range of salary the participant has indicated (e.g., “150-175”). The original authors opted to transform these ranges into a single numerical value for analysis. They did so by taking the mean of the min and max number of the indicated range. For participants that chose “Under 75” or “Above 250”, the authors subtracted or added (respectively) 15 and took the mean of those new ranges (e.g., (50+75)/2 and (250+275)/2). In one odd case a participant responded with “Under 75 & Above 250”, which the original authors transformed to: (50+275)/2. Note that I am not 100% sure that this transformation is the best choice; however, in lieu of a better alternative, I have done so for the sake of this analysis. To test the claim that single females are more likely to report lower desired salaries when they know classmates will see their preference compared to when it is kept private I will first subset the data to only include single female participants. I will also rename the treatment column, which currently codes 0 = Private and 1 = Public to simply be “Private” and “Public” for easier referencing. I then initially conducted a simple t-test between Private vs. Public (with desired compensation as the DV) and it seemed to replicate the p-value reported by the original authors for this comparison (0.03). However, I decided to check some assumptions of the data. While homogeneity looked fine, the data was clearly not normal (checked both using a Q-Q plot and Shapiro). As such, I opted to use the non-parametric equivalent to a t-test (i.e., Mann-Whitney-Wilcox Test) and found that the p-value = 0.073. As such, I failed to reject the null hypothesis. I did not take any new steps for Task 2 as the analysis I described is ""Analysis 1"" I report in Task 1.",Mann-Whitney-Wilcox Test,565.5,60,n/a (non-parametric test),p-value,0.073,"We have failed to reject the null hypothesis that the difference between the Private and Public groups are equal to 0. As such, my processing pipeline of the given data does NOT lead me to conclude that the data supports the claim that “… single female students reported lower desired salaries … when they expected their classmates to see their preferences.”. Of course, given the frequentist framework I am working in, I cannot conclude that the obtained results provide evidence AGAINST this claim. At best, I can only conclude that the data cannot be used to support the claim, full stop.",Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",2,160
2022-05-30T13:49:08Z,BHIO5,Woltin_JournExpSocPsych_2011_Wre,R,"To determine whether the level of reported empathic concern differs between a holistic/abstract (i.e., high power condition) and a detailed (i.e.,low power condition) processing style, a linear regression model was used with condition as the predictor and empathic concern as the outcome. The alpha level was set to .05. 

Thirty-six participants (high power: n = 18; low power: n = 18) were included in the analysis. The model showed that condition was a statistically significant predictor (Model: F(1,34) = 5.768, p = .022, R² = .145), with significantly greater empathic concern ratings in the low power condition (M = 3.89, SD = .445) than in the high power condition (M = 3.47, SD = .596).",F-statistic,5.758,36,34,p-value,0.022,The results suggest that individuals using a detailed processing style show statistically significantly more empathic concern than individuals using a more holistic/abstract processing style. The effect of the processing style on empathic concern can be considered large.,Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",2,161
2022-05-30T14:02:04Z,ZXDS9,Bursztyn_JournPoliEco_2012_jaK4,R,"Since there was only one analysis I was supposed to do in the Task 2, I have decided to examine WTP on a continuous scale with the linear model. I've run the analysis with R package rms, that allows for running a linear model with clustered standard errors, which were clustered at a school level.
Second I've formulated a model with willingness to pay as a DV, treatment as a IV, and included a list of control variables as instructed in the task.",z-statistic,-35.741,208,185,p-value,0.0001,Parents in the treatment groups that included monitoring technology were willing to pay less compared to the baseline group,Same as claimed by the original study,Yes,Yes,10,162
2022-05-30T14:06:05Z,PRL2N,Baillon_Econometrica_2018_QYNq,R,"I used the same preprocessing as in Task 1, following authors' instructions. I tested if the central tendency of the distributions of a-indexes in the two treatments are the same. 
I performed a Wilcoxon rank sum test two-tailed to test this hypothesis. I can reject the hypothesis with a p-value of 0.028, lower than the conventional level of 0.05.",sum of ranks,886.5,99,NA,p-value,0.028,The claim is supported by the analysis,Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",4,164
2022-05-30T14:19:12Z,S1LYK,Bigoni_Econometrica_2015_VBx1,R,"The analysis is run at the level of the subject per supergame, with the cooperation rate – that is, the percentage of cooperative behavior in a given supergame – as the main variable of interest. The cooperation rate can thus lie within 0 and 100 percent.

Before the main part of each experimental session, participants went through three practice supergames, which are excluded from the analysis. All other observations are included. The analysis thus comprises data from 240 participants across 23 supergames each, resulting in 5,520 observations in total. Applying analyses on the whole dataset instead of on averages per participant allows us to exploit the temporal structure of the data and control for potential learning effects across supergames. 

To test the claim whether cooperation rates are significantly higher with a deterministic horizon than with a stochastic horizon in short duration treatments, I will estimate a linear regression model using ordinary least squares. The dependent variable is the cooperation rate per subject and supergame as described above. Dummy variables for all treatments (“Short-Stochastic”, “Long-Deterministic”, “Long-Stochastic”, “Variable-Deterministic”) are included as dependent variables such that treatment “Short-Deterministic” acts as the baseline category. In addition, I control for participant demographics, their academic background and field of study, task comprehension, as well as questionnaire measures on their risk preferences, cognitive sophistication, and general trust. Importantly, I also control for potential learning effects by including the supergame ID (from 1 to 23) as an independent variable. 

Hence, the following model is estimated:

Cooperation Rate = a + b_1 I(Short-Stochastic) + b_2 I(Long-Deterministic) + b_3 I(Long-Stochastic) + b_4 I(Variable-Deterministic) + c_1 Age + c_2 Male + c_3 Italian + c_4 Education + c_5 Field of Study + c_6 Student Status + c_7 Economics + c_8 Statistics + c_9 Game Theory + c_10 Risk + c_11 Trust + c_12 IQ1 + c_13 IQ2 + c14 WrongAnswer1 +  c15 WrongAnswer2 + + c16 WrongAnswer3 + + c17 WrongAnswer4 + c18 Birthplace + 
c19 SupergameID + e

where

I(.) … binary variables taking the value 1 for the respective treatment and 0 otherwise
Age … participant age in years
Male … taking the value 1 if the participant is male and 0 otherwise
Italian … taking the value 1 if the participant is Italian and 0 otherwise
Education … enters linearly; ordinary variable indicating the highest completed education
Field of Study … enters as a factor variable, i.e., with one binary variable for each category except for the baseline (1 = Economics, business; 2 = Medicine, sciences, engineering, 3 = Humanities, 4 = Other)
Economics, Statistics, Game Theory .. binary variables taking the value 1 of the participant has already taken classes in the respective field and 0 otherwise
Risk … enters linearly; survey measure on risk attitude (from 1 to 10)
Trust …. binary variable taking the value 1 for general trust and 0 otherwise
IQ1, IQ2 … binary variables from cognitive quizzes taking the value 1 for higher cognitive sophistication and 0 otherwise
WrongAnswer1-WrongAnswer4 … number of wrong answers in task comprehension questions
SupergameID .. enters linearly; ID of the supergame (from 1 to 23)

The relevant hypothesis to test is that b_1, the estimated coefficient on the binary variable I(Short-Stochastic) is negative and different from 0. As treatment “Short-Deterministic” acts as the baseline category, a significantly negative coefficient estimate would support the claim that cooperation rates are significantly higher with a deterministic horizon than with a stochastic horizon in short duration treatments. 

For the hypothesis test I perform tests of estimates coefficients using (clustered) bootstrap covariance matrix estimation on the session and subject level using the ‘vcovBS’ command from the ‘sandwich’ package in R (Zeileis et al. 2020). This is to account for potential interdependencies between observations within a subject and within an experimental session without relying on the distributional assumptions otherwise required for standard parametric tests (see Moffat 2016, for example).

This analysis is identical to Task 1 as it already satisfies the requirements for Task 2. 


References:
Moffatt, P. G. (2016). Experimetrics: Econometrics for experimental economics. Macmillan International Higher Education.
Zeileis A, Köll S, Graham N (2020). “Various Versatile Variances: An Object-Oriented Implementation of Clustered Covariances in R.” Journal of Statistical Software, 95(1), 1-36. doi:10.18637/jss.v095.i01.",t-statistic,-3.102,5152,205,p-value,0.0019361,"With a coefficient estimate of -13.46, the analysis reveals that the percentage of cooperation in short-duration treatments is, on average, 13.46 percentage points higher with a deterministic horizon in comparison to a stochastic horizon (p = 0.002).",Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",5,165
2022-05-30T14:24:45Z,KDF9R,Grose_AmJourPoliSci_2015_E0Q3,Jamovi,"A McNemar test was conducted comparing the difference in the mention of pro-immigration actions in pro-immigration letters compared to anti-immigration letters. The McNemar test is appropriate for analysing frequency data of this type. The results showed that significantly more replies mentioned pro-immigration policies if the original letter was also pro-immigration: X^2 = 7.84, p = 0.0051.",Chi²-statistic,7.840,68,1,p-value,0.0051,"Significantly more replies mentioned pro-immigration policies if the original letter was also pro-immigration, compared to if the letter wa anti-immigration.",Same as claimed by the original study,Yes,Yes,2,166
2022-05-30T15:05:40Z,RXPB8,Angrist_AmEcoRev_2009_Gv3O,R,"I decided to not include any preprocessing of the data. This resulted in that I had a larger sample than the original authors, but the article seemed unclear on which participants were excluded and for what reason. As the OSF folder contained multiple dataset, I checked which dataset corresponded which the results of the original authors by means of the mean of the dependent variable and based on this decided on using dataset 99.
The study design described students being nested into schools and treatments were randomized across schools and not students, resulting in a logistic multilevel model. I decided to only include random intercepts and to forego random slopes because of convergence issues and because the original authors do not discuss differential effects across schools. My analysis is fairly similar to the one I conducted under Task 1, but here I excluded the logit link function from the multilevel model per instruction. I believe that the claim of the article cannot be fully addressed using the instructions of Task 2. To solely study the effect of treatment for girls, I would create subgroups. Because the instructions said not to, I opted for an interaction effect.
The claim I investigated is The experiment used a school-based randomization design offering awards to all who passed their exams in treated schools. This led to a substantial increase in certification rates for girls. 
Next, I fitted a random intercept mixed model, with the variables gender and treatment (and their interaction). This interaction was the test of my hypothesis: Boys and girls differ in how the treatment affected them. The idea is that if girls differ in their benefit from the treatment from boys, some interaction between treatment and gender should exist.",t-statistic,-0.877,4338,4181,p-value,0.381,"Based on the interaction effect, there is probably no difference in the effectiveness of the treatment between boys and girls on their bagrut scores.",Opposite as claimed by the original study,Yes,Yes,10,167
